"u","v","CC","CD","DC","DD"
0.001,0.001,0.22406442307692306,0.24740644230769232,0.2525935576923077,0.2759355769230769
0.001,0.0014953487812212204,0.22406442307692306,0.24740644230769232,0.2525935576923077,0.2759355769230769
0.001,0.0022360679774997894,0.22406442307692306,0.24740644230769232,0.2525935576923077,0.2759355769230769
0.001,0.0033437015248821097,0.22406442307692306,0.24740644230769232,0.2525935576923077,0.2759355769230769
0.001,0.004999999999999999,0.22406442307692306,0.24740644230769232,0.2525935576923077,0.2759355769230769
0.001,0.007476743906106102,0.22406442307692306,0.24740644230769232,0.2525935576923077,0.2759355769230769
0.001,0.011180339887498947,0.22406442307692306,0.24740644230769232,0.2525935576923077,0.2759355769230769
0.001,0.016718507624410548,0.22406442307692306,0.24740644230769232,0.2525935576923077,0.2759355769230769
0.001,0.024999999999999994,0.22406442307692306,0.24740644230769232,0.2525935576923077,0.2759355769230769
0.001,0.037383719530530504,0.22406442307692306,0.24740644230769232,0.2525935576923077,0.2759355769230769
0.001,0.05590169943749473,0.22406442307692306,0.24740644230769232,0.2525935576923077,0.2759355769230769
0.001,0.08359253812205272,0.22406442307692306,0.24740644230769232,0.2525935576923077,0.2759355769230769
0.001,0.12499999999999994,0.22406442307692306,0.24740644230769232,0.2525935576923077,0.2759355769230769
0.001,0.18691859765265248,0.22406442307692306,0.24740644230769232,0.2525935576923077,0.2759355769230769
0.001,0.27950849718747356,0.22406442307692306,0.24740644230769232,0.2525935576923077,0.2759355769230769
0.001,0.41796269061026353,0.22406442307692306,0.24740644230769232,0.2525935576923077,0.2759355769230769
0.001,0.6249999999999997,0.22406442307692306,0.24740644230769232,0.2525935576923077,0.2759355769230769
