generations,N,M,K,P,b,c,β,u,v,p1,p2,ϵ,DD_mean,DC_mean,CD_mean,CC_mean,DD_var,DC_var,CD_var,CC_var,set_1_mean,set_2_mean,set_3_mean,set_4_mean,set_1_var,set_2_var,set_3_var,set_4_var,opinion_-40_mean,opinion_-39_mean,opinion_-38_mean,opinion_-37_mean,opinion_-36_mean,opinion_-35_mean,opinion_-34_mean,opinion_-33_mean,opinion_-32_mean,opinion_-31_mean,opinion_-30_mean,opinion_-29_mean,opinion_-28_mean,opinion_-27_mean,opinion_-26_mean,opinion_-25_mean,opinion_-24_mean,opinion_-23_mean,opinion_-22_mean,opinion_-21_mean,opinion_-20_mean,opinion_-19_mean,opinion_-18_mean,opinion_-17_mean,opinion_-16_mean,opinion_-15_mean,opinion_-14_mean,opinion_-13_mean,opinion_-12_mean,opinion_-11_mean,opinion_-10_mean,opinion_-9_mean,opinion_-8_mean,opinion_-7_mean,opinion_-6_mean,opinion_-5_mean,opinion_-4_mean,opinion_-3_mean,opinion_-2_mean,opinion_-1_mean,opinion_0_mean,opinion_1_mean,opinion_2_mean,opinion_3_mean,opinion_4_mean,opinion_5_mean,opinion_6_mean,opinion_7_mean,opinion_8_mean,opinion_9_mean,opinion_10_mean,opinion_11_mean,opinion_12_mean,opinion_13_mean,opinion_14_mean,opinion_15_mean,opinion_16_mean,opinion_17_mean,opinion_18_mean,opinion_19_mean,opinion_20_mean,opinion_21_mean,opinion_22_mean,opinion_23_mean,opinion_24_mean,opinion_25_mean,opinion_26_mean,opinion_27_mean,opinion_28_mean,opinion_29_mean,opinion_30_mean,opinion_31_mean,opinion_32_mean,opinion_33_mean,opinion_34_mean,opinion_35_mean,opinion_36_mean,opinion_37_mean,opinion_38_mean,opinion_39_mean,opinion_40_mean,opinion_-40_var,opinion_-39_var,opinion_-38_var,opinion_-37_var,opinion_-36_var,opinion_-35_var,opinion_-34_var,opinion_-33_var,opinion_-32_var,opinion_-31_var,opinion_-30_var,opinion_-29_var,opinion_-28_var,opinion_-27_var,opinion_-26_var,opinion_-25_var,opinion_-24_var,opinion_-23_var,opinion_-22_var,opinion_-21_var,opinion_-20_var,opinion_-19_var,opinion_-18_var,opinion_-17_var,opinion_-16_var,opinion_-15_var,opinion_-14_var,opinion_-13_var,opinion_-12_var,opinion_-11_var,opinion_-10_var,opinion_-9_var,opinion_-8_var,opinion_-7_var,opinion_-6_var,opinion_-5_var,opinion_-4_var,opinion_-3_var,opinion_-2_var,opinion_-1_var,opinion_0_var,opinion_1_var,opinion_2_var,opinion_3_var,opinion_4_var,opinion_5_var,opinion_6_var,opinion_7_var,opinion_8_var,opinion_9_var,opinion_10_var,opinion_11_var,opinion_12_var,opinion_13_var,opinion_14_var,opinion_15_var,opinion_16_var,opinion_17_var,opinion_18_var,opinion_19_var,opinion_20_var,opinion_21_var,opinion_22_var,opinion_23_var,opinion_24_var,opinion_25_var,opinion_26_var,opinion_27_var,opinion_28_var,opinion_29_var,opinion_30_var,opinion_31_var,opinion_32_var,opinion_33_var,opinion_34_var,opinion_35_var,opinion_36_var,opinion_37_var,opinion_38_var,opinion_39_var,opinion_40_var,total_means_mean,total_means_var,total_vars_mean,total_vars_var,total_cooperation_mean,total_cooperation_var,party_cooperation_mean,enemy_cooperation_var,cityblock_ind_mean,cityblock_ind_var,cityblock_party_mean,cityblock_party_var,cityblock_enemy_mean,cityblock_enemy_var,cityblock_ind-party_mean,hamming_ind_mean,hamming_ind_var,hamming_party_mean,hamming_party_var,hamming_enemy_mean,hamming_enemy_var,hamming_ind-party_mean,DD_mean_final,DC_mean_final,CD_mean_final,CC_mean_final
2.0e7,40.0,4.0,4.0,2.0,1.0,0.2,0.001,0.001,0.001,0.0,0.0,1.0,0.38343784258678654,0.3219761112791049,0.1829170815046066,0.11166896462950197,0.22942014284324747,0.21115349067982903,0.14385152242113386,0.09459161730552183,40.0,40.0,40.0,40.0,0.0,0.0,0.0,0.0,0.04991061111607716,0.0,0.05888423145087603,0.0,0.0,0.0,0.056295534372470306,0.0,0.07609564021690889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044405233644153684,0.0,0.06149327713926237,0.0,0.0,0.0,0.03384727728626238,0.0,0.06534619081410051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048239530653359404,0.0,0.06058168552323969,0.0,0.0,0.0,0.08561902302116539,0.0,0.07983452612030412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06508782555067635,0.0,0.09297200316822204,0.0,0.0,0.0,0.0762865013174166,0.0,0.04510090860550507,0.045059096315182526,0.0,0.05350012851742005,0.0,0.0,0.0,0.051058206418374295,0.0,0.06768654405161506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040450581712684515,0.0,0.05542494089270593,0.0,0.0,0.0,0.031140381860826977,0.0,0.058795363094969105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043807466719729564,0.0,0.05502713014748881,0.0,0.0,0.0,0.0753457435313113,0.0,0.0707552651683936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058385713167227765,0.0,0.08161566038278845,0.0,0.0,0.0,0.06758244710176835,0.0,0.04095355292995278,0.1939905725560793,3.413184553168679,0.16248473427791363,0.6340995695773495,0.30127270601013456,0.19473654699111814,0.14677531482480444,0.1544973911853301,0.16724995652030158,0.2905380719473013,0.16726044509371799,0.2909994184471319,0.167239992375556,0.29082894931304537,-1.0488573416400575e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3760492799996535,0.3327723737498982,0.17890987624988164,0.11226846999982822
2.0e7,40.0,4.0,4.0,2.0,1.0,0.2,0.001,0.001,0.001,0.25,0.25,1.0,0.40953408835921734,0.32991852889341505,0.11332408814866178,0.14722329459870587,0.2344291886541087,0.21466400588468063,0.09591993949847714,0.12069313886501935,40.0,40.0,40.0,40.0,0.0,0.0,0.0,0.0,0.20365895535228026,0.0,0.030660942741058735,0.0,0.0,0.0,0.05172265962651891,0.0,0.04138661853407675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029030244220541988,0.0,0.04737986125667438,0.0,0.0,0.0,0.025457224974598618,0.0,0.07025467526362916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031633405187033045,0.0,0.04779661401129921,0.0,0.0,0.0,0.03070093996105889,0.0,0.03656471463529364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04586234328542538,0.0,0.0791516247693542,0.0,0.0,0.0,0.059466082807439834,0.0,0.16927309337371702,0.15606801635054177,0.0,0.02820672646855767,0.0,0.0,0.0,0.046920730464479615,0.0,0.037492930593100784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026677945325064862,0.0,0.043438800219806555,0.0,0.0,0.0,0.023613831084199885,0.0,0.0632456098780065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028990235155402316,0.0,0.04332249765935951,0.0,0.0,0.0,0.02857743501092147,0.0,0.03341601295825185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042108618789016776,0.0,0.07067629074692804,0.0,0.0,0.0,0.053990095771304536,0.0,0.13479346076783844,0.0672362434868754,7.212713387449512,0.31140151532099847,1.9263102801303296,0.26867365150887124,0.18139906209549717,0.1308759155745574,0.1377977359343138,0.17087476415368122,0.3074254604279609,0.17016924873328734,0.3052805238056034,0.17154500380305535,0.31051961470200484,0.000705515420393844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39356135374949497,0.34740678124981067,0.11565995249986633,0.14337191249970901
2.0e7,40.0,4.0,4.0,2.0,1.0,0.2,0.001,0.001,0.001,0.5,0.5,1.0,0.44959029863387223,0.3280469373307257,0.10746397736311236,0.11489878667228964,0.23907861016561457,0.21318352349877567,0.09129793570549455,0.09671974180308397,40.0,40.0,40.0,40.0,0.0,0.0,0.0,0.0,0.26749297958372337,0.0,0.024652740297069983,0.0,0.0,0.0,0.04243774069790329,0.0,0.03225788848567286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038967275612929134,0.0,0.027218554043413664,0.0,0.0,0.0,0.039940658892185614,0.0,0.012390281256095486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05230427626087355,0.0,0.014650239463875586,0.0,0.0,0.0,0.013026793720733685,0.0,0.02772239151542269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0330004884444173,0.0,0.051442317975426775,0.0,0.0,0.0,0.0337335370148035,0.0,0.28876183673545347,0.18807724502328324,0.0,0.02301540965374757,0.0,0.0,0.0,0.03927625289079296,0.0,0.02966772062124748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03611115731916998,0.0,0.025091594788516334,0.0,0.0,0.0,0.03700362145641049,0.0,0.01142862803992157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04787495437311861,0.0,0.013410445853671685,0.0,0.0,0.0,0.012085722705374275,0.0,0.02599617316735834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030800930028316978,0.0,0.047454975656242175,0.0,0.0,0.0,0.031400706195029125,0.0,0.19694232430442288,0.018928418392865635,9.615491120651685,0.42956967399826596,3.331451144589297,0.23091457316678296,0.16238228702901783,0.11243766418615543,0.11847690898062756,0.1691042386110181,0.3342475511727759,0.16678893722517601,0.3251789789892414,0.17130377492756804,0.34499774167639935,0.002315301385842082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4374113812493319,0.3255298849996542,0.11436760374979985,0.12269112999968079
2.0e7,40.0,4.0,4.0,2.0,1.0,0.2,0.001,0.001,0.001,0.75,0.75,1.0,0.46788943511725367,0.2661580366023313,0.14247944486225306,0.12347308341816203,0.24037213663507262,0.1884500644705976,0.11682583735838904,0.10284411387284477,40.0,40.0,40.0,40.0,0.0,0.0,0.0,0.0,0.43890351450536025,0.0,0.009082674495406971,0.0,0.0,0.0,0.00964546057525219,0.0,0.0019281457262141264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02489129167270602,0.0,0.02076319745760014,0.0,0.0,0.0,0.0358176632879076,0.0,0.011509997971666781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01772221707098794,0.0,0.01040623136632048,0.0,0.0,0.0,0.006056913552393692,0.0,0.02427170976268279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015347151925158226,0.0,0.03868664368407535,0.0,0.0,0.0,0.027091699883794455,0.0,0.3216879237951153,0.2353145060583821,0.0,0.008329800713871873,0.0,0.0,0.0,0.008973183349011534,0.0,0.001539816246907496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023581500543610037,0.0,0.01972635679488613,0.0,0.0,0.0,0.033511325237821576,0.0,0.010882381015721108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01670283852547339,0.0,0.009766952738567848,0.0,0.0,0.0,0.00536453539340293,0.0,0.022772061711356314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012755685033136754,0.0,0.036118636121480495,0.0,0.0,0.0,0.025497362430241956,0.0,0.20804173969921477,-0.38842554786524736,12.084302193022562,0.6009167849918025,5.687667533459136,0.2743516459316749,0.1828055913477545,0.13348858871110406,0.1408630572205709,0.18425254318255102,0.42542110353309875,0.17720010506783043,0.39288884855875505,0.1909523593915356,0.46401935290598345,0.007052438114720601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4780809537486889,0.25782962500000445,0.14433363499968366,0.11975578624970402
2.0e7,40.0,4.0,4.0,2.0,1.0,0.2,0.001,0.001,0.001,1.0,1.0,1.0,0.3755070902496061,0.21196000350222205,0.2544313164204824,0.15810158982768946,0.1279985220608534,0.07321220556522454,0.09359143051702395,0.068893508231673,40.0,40.0,40.0,40.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.410256410256405,1.2621775184745882e-29,0.3907527457772691,0.06664945373282809,0.20097756971064787,0.18977517606662123,4.102564102564101,7.888609490466176e-31,0.0,0.0,8.0,0.0,4.102564102564101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3692947224992946,0.210528671249854,0.2594742812499781,0.16070232499966705
2.0e7,40.0,4.0,4.0,2.0,1.0,0.2,0.001,0.001,0.001,0.0,0.0,1.0,0.38530785914956334,0.39488969611723906,0.14061621857687676,0.07918622615632076,0.22979143876301658,0.2310130398969417,0.1154312771065888,0.06857391908598347,40.0,40.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0484980306389983,0.0,0.07288973483945918,0.0,0.0,0.0,0.05711229543820581,0.0,0.07948845808397455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07175065573607468,0.0,0.04754073902551449,0.0,0.0,0.0,0.07145663491907583,0.0,0.07056813635732576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04560066691107406,0.0,0.0662823449287586,0.0,0.0,0.0,0.09116791299067149,0.0,0.07450444030530887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05451348030480665,0.0,0.045263207207599604,0.0,0.0,0.0,0.050599588855578394,0.0,0.05276367345757369,0.044190487004579934,0.0,0.06502421660709372,0.0,0.0,0.0,0.0513545005632894,0.0,0.07069490436790916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06406500648349014,0.0,0.042814829465678945,0.0,0.0,0.0,0.06405244182015021,0.0,0.0628613465002282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04162471454785301,0.0,0.059519530610836785,0.0,0.0,0.0,0.07996695433889264,0.0,0.06607982174696424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04924112710551748,0.0,0.04080694282751758,0.0,0.0,0.0,0.045573508757073174,0.0,0.04757234512942889,0.004226610876299376,3.4201307218706183,0.15712181748183637,0.5210673520404451,0.2293159970358634,0.15926142032247526,0.11171670140569609,0.1175992956301673,0.1738854302257382,0.29723587958967657,0.1738662868319899,0.2975158265481247,0.1739036164497991,0.2977371132777663,1.9143393748295277e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39356576499955365,0.3923386324995569,0.13318067499983702,0.08091492749996372
2.0e7,40.0,4.0,4.0,2.0,1.0,0.2,0.001,0.001,0.001,0.25,0.25,1.0,0.3689337808925677,0.3942231864320452,0.12288960289502207,0.11395342978036502,0.22564071306702965,0.23146268342314716,0.10270920775158965,0.09546451748099227,40.0,40.0,40.0,40.0,0.0,0.0,0.0,0.0,0.19376252117985993,0.0,0.02924000393111089,0.0,0.0,0.0,0.07974688723628405,0.0,0.045924647448630694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07044621830854343,0.0,0.026470280473873307,0.0,0.0,0.0,0.0399014588943634,0.0,0.05850843424953143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07382763339846482,0.0,0.047774179290323376,0.0,0.0,0.0,0.04329381565034358,0.0,0.03522323693204239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04388197395100145,0.0,0.026371787423789584,0.0,0.0,0.0,0.034926402226310986,0.0,0.1507005194055267,0.14997098208497348,0.0,0.026887090664276518,0.0,0.0,0.0,0.0706990108450364,0.0,0.0420843423339927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06284833581421004,0.0,0.024236431677985833,0.0,0.0,0.0,0.036482403559094406,0.0,0.05292443421621065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06592191638980854,0.0,0.043408050339948684,0.0,0.0,0.0,0.039546548443136584,0.0,0.03265353246943606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04002030430379544,0.0,0.02430742621999271,0.0,0.0,0.0,0.03191790618614519,0.0,0.12216142899475743,-0.36870977118279047,6.701126934165062,0.31538216096879734,1.930380500631714,0.2467338062533925,0.16820255809888418,0.12017967876672726,0.12655412748666525,0.179117557427942,0.3250066910641631,0.17834149857167114,0.32263700068871043,0.17985481334139927,0.32839573535416633,0.0007760588562708356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.362791181249831,0.3984532124995496,0.12276955249969314,0.11598605374990276
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
